type,front,back
vocab,● てつだいます (手伝います),Giúp đỡ
vocab,● わかります,Hiểu
vocab,● あります / います,Có
vocab,● できます,"Có thể, được hoàn thành"
vocab,● つけます / けします (消します),Bật / Tắt
vocab,● いそぎます (急ぎます),Vội
vocab,● まちます (待ちます),Đợi
vocab,● よびます (呼びます),Gọi
vocab,● はなします (話します),Nói chuyện
vocab,● つかいます (使います),Dùng
vocab,● とめます (止めます),"Dừng, đỗ"
vocab,● みせます (見せます),Cho xem
vocab,● すみます (住みます),Sống
vocab,● しります (知ります),Biết
vocab,● つくります (作ります),"Làm, chế tạo"
vocab,[ドアが] あきます / [ドアを] あけます,[Cửa] mở / Mở [cửa]
vocab,[ドアが] しまります / [ドアを] しめます,[Cửa] đóng / Đóng [cửa]
vocab,[あめが] やみます ([雨が] 止みます),Tạnh [mưa]
vocab,[かぜを] ひきます,Bị [cảm]
vocab,● うります (売ります),Bán
vocab,● おもいます (思います),Nghĩ
vocab,● いいます (言います),Nói
vocab,● こまります (困ります),"Khó khăn, khổ"
vocab,● こわれます (壊れます),Bị hỏng
vocab,● われます (割れます),Bị vỡ
vocab,● おれます (折れます),Bị gãy
vocab,● やぶれます (破れます),Bị rách
vocab,● よごれます (汚れます),Bị bẩn
vocab,● つきます (付きます),"Có dính, có kèm theo"
vocab,● おとします (落とします),Đánh rơi
vocab,● かかります (掛かります),Được khóa
vocab,● まちがえます (間違えます),"Nhầm, sai"
vocab,● うんどうします (運動します),Vận động
vocab,● せいこうします (成功します),Thành công
vocab,● しっぱいします (失敗します),Thất bại
vocab,● ごうかくします (合格します),"Đỗ, qua"
vocab,● ひやします (冷やします),Làm lạnh
vocab,● にげます (逃げます),Chạy trốn
vocab,● さわぎます (騒ぎます),Làm ồn
vocab,● あきらめます,Từ bỏ
vocab,● なげます (投げます),Ném
vocab,● まもります (守ります),"Bảo vệ, tuân thủ"
vocab,● つたえます (伝えます),Truyền đạt
vocab,● ちゅういします (注意します),Chú ý
vocab,● こみます (込みます),"Đông, đông đúc"
vocab,● すきます,"Vắng, thưa"
vocab,● こしょうします (故障します),Hỏng
vocab,● うれます (売れます),Bán chạy
vocab,● おどります (踊ります),"Nhảy, múa"
vocab,● かみます,"Nhai, cắn"
vocab,● えらびます (選びます),Lựa chọn
vocab,● かよいます (通います),Đi đi về về
vocab,[せきを] はずします ([席を] 外します),Rời [chỗ ngồi]
vocab,[おゆが] わきます ([お湯が] 沸きます),[Nước nóng] sôi
vocab,● あたらしい ⇔ ふるい,Mới ⇔ Cũ
vocab,● いい (よい) ⇔ わるい,Tốt ⇔ Xấu
vocab,● たかい ⇔ やすい,Đắt ⇔ Rẻ
vocab,● たかい ⇔ ひくい,Cao ⇔ Thấp
vocab,● おおきい ⇔ ちいさい,To ⇔ Nhỏ
vocab,● おもしろい ⇔ つまらない,Thú vị ⇔ Chán
vocab,● おいしい ⇔ まずい,Ngon ⇔ Dở
vocab,● いそがしい (忙しい),Bận
vocab,● たのしい (楽しい),Vui
vocab,● しろい / くろい / あかい / あおい,Trắng / Đen / Đỏ / Xanh
vocab,● むずかしい ⇔ やさしい,Khó ⇔ Dễ
vocab,● ちかい ⇔ とおい,Gần ⇔ Xa
vocab,● おもい ⇔ かるい,Nặng ⇔ Nhẹ
vocab,● やさしい (優しい),"Tốt bụng, hiền lành"
vocab,● えらい (偉い),"Vĩ đại, đáng nể"
vocab,● ちょうどいい,Vừa vặn
vocab,● ハンサム[な] / きれい[な],"Đẹp trai / Đẹp, sạch"
vocab,● しずか[な] ⇔ にぎやか[な],Yên tĩnh ⇔ Náo nhiệt
vocab,● しんせつ[な] (親切),Tốt bụng
vocab,● げんき[な] (元気),Khỏe
vocab,● ひま[な] (暇),Rảnh rỗi
vocab,● べんり[な] (便利),Tiện lợi
vocab,● すき[な] ⇔ きらい[な],Thích ⇔ Ghét
vocab,● じょうず[な] ⇔ へた[な],Giỏi ⇔ Kém
vocab,● かんたん[な] (簡単),Đơn giản
vocab,● たいせつ[な] (大切),Quan trọng
vocab,● あんぜん[な] (安全),An toàn
vocab,● だめ[な],Không được
vocab,● おなじ (同じ),Giống
vocab,● まじめ[な],"Chăm chỉ, nghiêm túc"
vocab,● ねっしん[な] (熱心[な]),Nhiệt tình
vocab,● とても / あまり / ぜんぜん,Rất / Không ~ lắm / Hoàn toàn không
vocab,● よく,"Thường, rõ"
vocab,● すこし / ちょっと,Một chút
vocab,● もう / まだ,"Đã / Vẫn, chưa"
vocab,● ゆっくり,"Chậm, thong thả"
vocab,● すぐ,Ngay lập tức
vocab,● どうして,Tại sao
vocab,● もちろん,Dĩ nhiên
